Title,ID,Meas,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS-30,SDS,DID,MASQ,d,cp,g,varg,Stat used,AMT,Positive,Neutral,Negative,Specific,Categoric
Kaney 1999,25,3,1,1,1,20,20,34.9,36.65,0.25,,1,,105.2,,,,,,,0.5,1,,,27.55,27.55,,,,,,,0.317370373,0.98013245,0.311065001,0.101209518,Mean,1,0,0,1,1,0
Kaney 1999,25,4,1,1,1,20,20,34.9,36.65,0.25,,1,,105.2,,,,,,,0.5,1,,,27.55,27.55,,,,,,,-0.368532727,0.98013245,-0.361210885,0.101630916,Mean,1,0,0,1,0,1
Gallassi 2006,26,1,1,1,1,48,15,67.54,69.33,0.75,7.15,1,1,,0.75,54.79,54.79,,,153,0,1,,25.5,,37.08955224,,,,,,,-1.986072569,0.987654321,-1.961553155,0.118037228,Mean,0,,,,1,0
Heidenreich 2007,27,1,1,1,1,18,18,39.9,32.3,0.556,,0,1,,,,,,,,,1,,,24.94,24.94,,,,,,,0.047979385,0.977777778,0.046913177,0.111141678,Mean,1,,,,1,0
Heidenreich 2007,27,2,1,1,1,18,18,39.9,32.3,0.556,,0,1,,,,,,,,,1,,,24.94,24.94,,,,,,,-0.153795605,0.977777778,-0.150377925,0.111425188,Mean,1,,,,0,1
Rottenberg 2006: Current MDD,28,1,1,1,1,26,29,36.7,32.1,0.769,14.4,1,1,,,,,,,,,,,,25,25,,,,,,,-3.618747869,0.985781991,-3.567296477,0.188631608,Mean,0,1,0,0,1,0
Rottenberg 2006: Current MDD,28,2,1,1,1,26,29,36.7,32.1,0.769,14.4,1,1,,,,,,,,,,,,25,25,,,,,,,0.628571429,0.985781991,0.619634394,0.076434722,Mean,0,0,0,1,1,0
Rottenberg 2006: Remitted MDD,29,1,1,1,0,19,29,34.99,32.1,0.736,14,1,1,,,,,,,,,,,,5.6,5.6,,,,,,,-1.055008188,0.985781991,-1.040008072,0.082777177,Mean,0,1,0,0,1,0
Rottenberg 2006: Remitted MDD,29,2,1,1,0,19,29,34.99,32.1,0.736,14,1,1,,,,,,,,,,,,5.6,5.6,,,,,,,-0.480993028,0.985781991,-0.474154264,0.074988136,Mean,0,0,0,1,1,0
Romero 2014,30,1,1,,1,65,74,21.58,21.65,0.862,,1,1,,,,,,,,,0,,,17.08,17.08,,,,,,,-0.830352475,0.994515539,-0.825798439,0.031351161,Mean,0,1,0,0,1,0
Romero 2014,30,2,1,,1,65,74,21.58,21.65,0.862,,1,1,,,,,,,,,0,,,17.08,17.08,,,,,,,0.474514861,0.994515539,0.471912403,0.029699213,Mean,0,1,0,0,0,1
Romero 2014,30,3,1,,1,65,74,21.58,21.65,0.862,,1,1,,,,,,,,,0,,,17.08,17.08,,,,,,,0.153877541,0.994515539,0.153033606,0.028982371,Mean,0,0,0,1,1,0
Romero 2014,30,4,1,,1,65,74,21.58,21.65,0.862,,1,1,,,,,,,,,0,,,17.08,17.08,,,,,,,0.190050432,0.994515539,0.189008108,0.029026633,Mean,0,0,0,1,0,1
Wessel 2001: Remitted MDD with Anxiety,31,1,1,1,0,20,24,37.5,35.1,0.65,,1,1,,,,,,,,0.35,1,,,,,,,,50.9,,,-0.513854288,0.982035928,-0.504623372,0.094560357,Mean,1,1,0,0,1,0
Wessel 2001: Remitted MDD with Anxiety,31,2,1,1,0,20,24,37.5,35.1,0.65,,1,1,,,,,,,,0.35,1,,,,,,,,50.9,,,-0.215465978,0.982035928,-0.211595332,0.093461997,Mean,1,0,0,1,1,0
Wessel 2001: Current MDD with Anxiety,32,1,1,1,1,25,24,38.6,35.1,0.48,,1,1,,,,,,,,0.64,1,,,,,,,,59.88,,,-1.215779676,0.983957219,-1.196275189,0.096269466,Mean,1,1,0,0,1,0
Wessel 2001: Current MDD with Anxiety,32,2,1,1,1,25,24,38.6,35.1,0.48,,1,1,,,,,,,,0.64,1,,,,,,,,59.88,,,-0.662387777,0.983957219,-0.651761235,0.086001286,Mean,1,0,0,1,1,0
Wessel 2001: Current MDD,33,1,1,1,1,17,24,40.9,35.1,0.647,,1,1,,,,,,,,0.647,1,,,,,,,,58.94,,,-1.306409359,0.980645161,-1.281124016,0.120505791,Mean,1,1,0,0,1,0
Wessel 2001: Current MDD,33,2,1,1,1,17,24,40.9,35.1,0.647,,1,1,,,,,,,,0.647,1,,,,,,,,58.94,,,-0.914591107,0.980645161,-0.896889344,0.11030008,Mean,1,0,0,1,1,0
Rosenbach 2015,34,1,1,1,1,27,30,41.6,33,0.667,,1,,,,,,,,,,1,,,,,,,,,,,-0.163330229,0.98630137,-0.161092829,0.07059801,Mean,1,1,0,0,1,0
Rosenbach 2015,34,2,1,1,1,27,30,41.6,33,0.667,,1,,,,,,,,,,1,,,,,,,,,,,-0.03820459,0.98630137,-0.037681239,0.070382825,Mean,1,0,0,1,1,0
Lee 2016,35,1,1,,1,21,20,43.43,32.8,0.429,,0,,,,,,,,,,,,,,,,29.86,,,,,-0.609947958,0.980645161,-0.598142514,0.101982151,Mean,1,1,0,0,1,0
Lee 2016,35,2,1,,1,21,20,43.43,32.8,0.429,,0,,,,,,,,,,,,,,,,29.86,,,,,-1.045432953,0.980645161,-1.025198767,0.110436517,Mean,1,0,0,1,1,0
Vorontsova 2013,36,1,1,1,1,30,30,42.5,40.4,0.533,,1,0,,,,,,,,,1,,,30,30,,,,,,,-0.107380669,0.987012987,-0.105986115,0.066760275,Mean,1,,,,1,0
Sumner 2014,37,1,1,1,0.037,164,275,22.5,22.4,0.74,,1,1,,,,,,,,,0,,,,,,,,,,,0.113478545,0.99828277,0.113283676,0.009748541,Mean,1,,,,1,0
Ridout 2016,38,1,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,-0.908445381,0.984293194,-0.894176606,0.087995518,Mean,1,1,0,0,1,0
Ridout 2016,38,2,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,0.676660649,0.984293194,0.666032472,0.084435993,Mean,1,1,0,0,0,1
