ID,Title,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS.30,SDS,DID,MASQ,d,cp,g,vi,sdi,Va,sda,Stat.used,AMT,Positive,Neutral,Negative,Specific,Categoric
82,Young 2016c,1,1,1,16,16,37.1,37.8,0.875,NA,1,NA,114,NA,NA,NA,NA,NA,NA,0,0,NA,19.8,NA,28.58208955,NA,NA,NA,NA,NA,NA,-1.768115436,0.974789916,-1.723541097,0.17141553,0.414023586,0.125,0.353553391,Mean,1,NA,NA,NA,1,0
84,Kuffel 2014,1,1,1,20,20,30.8,30.8,0.7,11.25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,25.2,25.2,NA,NA,NA,NA,NA,NA,-0.220863052,0.98013245,-0.216475044,0.100585768,0.317152594,0.1,0.316227766,Mean,1,NA,NA,NA,1,0
85,Yao 2010,1,1,1,60,60,29.7,31.43,0.6,12.23,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,24.63,32.7,32.7,NA,NA,NA,NA,NA,NA,-0.733539657,0.993630573,-0.766264539,0.035785667,0.189170998,0.033333333,0.182574186,Mean,1,0,0,1,1,0
87,Fleischer 2015,1,1,1,24,67,35.8,30.2,1,11.9,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06508406,0.991549296,-0.064534054,0.056614922,0.237938904,0.043956044,0.209656967,Mean,1,NA,NA,NA,1,0
88,Semkovska 2012,1,1,1,30,19,46.2,43.6,0.53,14.93,1,0,112.6,NA,NA,NA,NA,NA,NA,NA,1,NA,29.5,NA,43.05970149,NA,NA,NA,NA,NA,NA,-0.731820609,0.983957219,-0.720080171,0.091255886,0.302085892,0.081632653,0.285714286,F ,0,NA,NA,NA,1,0
89,Schlosser 2010,1,1,1,16,16,34.88,33.31,0.5,10.75,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,23.4,23.4,NA,NA,NA,NA,NA,NA,-1.23574144,0.974789916,-0.73218636,0.135336364,0.367880911,0.125,0.353553391,Mean,1,1,0,0,1,0
92,Birch 2007,1,1,1,17,17,71.5,73.9,0.765,10.4,1,1,96.3,NA,NA,NA,NA,NA,NA,0.88,1,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,-0.860089587,0.976377953,-0.839772511,0.12801791,0.357795906,0.117647059,0.34299717,Mean,1,NA,NA,NA,1,0
94,Sumner 2013,1,0,1,28,27,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.98,NA,0.374180173,0.985781991,0.315244066,0.073769226,0.271604909,0.072727273,0.269679945,Mean,0,NA,NA,NA,1,0
97,Anderson 2015,1,0,1,31,28,22.48,21.61,0.71,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,23.32,NA,NA,NA,NA,0,0.986784141,0,0.06797235,0.260715074,0.06779661,0.260377822,Mean,0,NA,NA,NA,1,0
98,Ramponi 2004,1,0,1,16,16,34.63,29.38,0.625,NA,1,NA,113.42,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,14.63,14.63,NA,NA,NA,NA,NA,NA,-0.971976272,0.974789916,-0.74744679,0.134079876,0.366169191,0.125,0.353553391,Mean,1,1,0,0,1,0
102,Haringsma 2010,1,1,0,63,60,64.92,64.47,0.762,NA,1,1,NA,0.857,NA,NA,NA,NA,NA,0.22,0,NA,NA,NA,NA,NA,15.07,NA,NA,NA,NA,0.212365822,0.99378882,0.090714711,0.032631995,0.180643281,0.032520325,0.180333927,Mean,1,1,0,0,1,0
104,Anderson 2016: Experiment 1,1,0,1,30,31,20.87,20.29,0.867,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,-0.776270526,0.987234043,-0.766360689,0.070405404,0.265340167,0.06557377,0.25607376,Mean,0,0,1,0,1,0
106,Anderson 2016: Experiment 2,1,0,1,27,26,20.7,20.12,0.704,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,26.56,NA,NA,NA,NA,-0.318460128,0.985221675,-0.440664197,0.077482455,0.278356705,0.075471698,0.274721128,Mean,0,1,0,0,1,0
110,Goddard 2001: Primed,1,NA,1,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.045082993,0.972972973,-1.576601041,0.177606882,0.421434315,0.133333333,0.365148372,Mean,1,1,0,0,1,0
112,Goddard 2001: non-primed,1,NA,1,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.415348983,0.972972973,-1.240564717,0.159294028,0.399116559,0.133333333,0.365148372,Mean,1,1,0,0,1,0
114,Gupta 2012: Current MDD,1,1,1,10,10,40,43.6,0.5,16.5,1,1,NA,NA,37.5,37.5,NA,NA,30,NA,1,NA,22.8,NA,33.05970149,NA,NA,NA,NA,NA,NA,0.555962485,0.957746479,-0.446583618,0.228949627,0.47848681,0.2,0.447213595,Mean,1,0,0,1,1,0
116,Gupta 2012: Remitted MDD,1,1,0,10,10,43,43.6,0.5,15.7,1,1,NA,NA,37.9,37.9,NA,NA,60.6,NA,1,NA,6,NA,7.985074627,NA,NA,NA,NA,NA,NA,-0.600266151,0.957746479,-0.313508577,0.204165365,0.451846616,0.2,0.447213595,Mean,1,0,0,1,1,0
118,Rekart 2006,0,0,1,67,56,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,0.180886253,0.99378882,-0.085048428,0.03309698,0.181925754,0.032520325,0.180333927,Mean,1,1,0,0,1,0
122,Dickson 2006,1,0,1,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20.05,20.05,NA,NA,NA,NA,NA,NA,-1.616339398,0.976377953,-0.947224668,0.135877719,0.368615951,0.117647059,0.34299717,Mean,1,1,0,0,1,0
125,McElhiney 1998,0,1,1,66,22,55.4,64.6,0.621,14.8,0,1,104.6,NA,NA,NA,NA,NA,NA,NA,1,NA,30.5,NA,44.55223881,NA,NA,NA,NA,NA,NA,-0.437624441,0.991253644,-0.433796822,0.061675263,0.248345048,0.045454545,0.213200716,Mean,0,NA,NA,NA,1,0
126,Renneberg 2005,1,1,1,27,30,39.1,28.4,1,10.6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,24.4,24.4,NA,NA,NA,NA,NA,NA,-0.791798083,0.98630137,-0.61481456,0.07381939,0.27169724,0.070175439,0.264906471,Mean,1,1,0,0,1,0
