region1,region2,strength
L_lateralorbitofrontal,L_supramarginal,4.3869
L_lateralorbitofrontal,L_frontalpole,6.7501
L_lateralorbitofrontal,L_temporalpole,5.8772
L_lateralorbitofrontal,L_insula,10.3289
L_lateralorbitofrontal,R_caudalanteriorcingulate,3.4097
L_lateralorbitofrontal,R_lateralorbitofrontal,7.2277
L_lateralorbitofrontal,R_medialorbitofrontal,8.4619
L_lateralorbitofrontal,R_rostralanteriorcingulate,5.4843
L_lateralorbitofrontal,R_rostralmiddlefrontal,6.2250
L_lateralorbitofrontal,R_superiorfrontal,6.0762
L_lateralorbitofrontal,R_frontalpole,7.0932
L_lateralorbitofrontal,R_insula,4.7513
L_lingual,L_medialorbitofrontal,6.3239
L_lingual,L_middletemporal,7.8362
L_lingual,L_parahippocampal,9.1807
L_lingual,L_pericalcarine,10.4441
L_lingual,L_precuneus,8.9417
L_lingual,L_rostralmiddlefrontal,6.5340
L_lingual,L_superiorparietal,8.5482
L_lingual,L_superiortemporal,7.3767
L_lingual,L_insula,8.5846
L_lingual,R_cuneus,6.3090
L_lingual,R_fusiform,4.7176
L_lingual,R_isthmuscingulate,5.5362
L_lingual,R_lingual,7.1486
L_lingual,R_pericalcarine,6.2670
L_lingual,R_precuneus,4.9851
L_lingual,R_superiorparietal,6.3171
L_medialorbitofrontal,L_middletemporal,4.9297
L_medialorbitofrontal,L_parsorbitalis,4.6845
L_medialorbitofrontal,L_posteriorcingulate,6.9536
L_medialorbitofrontal,L_precuneus,7.3005
L_medialorbitofrontal,L_rostralanteriorcingulate,10.2336
L_medialorbitofrontal,L_rostralmiddlefrontal,7.7909
L_medialorbitofrontal,L_superiorfrontal,9.4577
L_medialorbitofrontal,L_superiortemporal,5.0923
L_medialorbitofrontal,L_frontalpole,9.0180
L_medialorbitofrontal,L_temporalpole,6.5676
L_medialorbitofrontal,L_insula,8.6946
L_medialorbitofrontal,R_caudalanteriorcingulate,4.9647
L_medialorbitofrontal,R_inferiortemporal,3.8639
L_medialorbitofrontal,R_lateralorbitofrontal,7.9217
L_medialorbitofrontal,R_medialorbitofrontal,9.9334
L_medialorbitofrontal,R_middletemporal,3.0072
L_medialorbitofrontal,R_rostralanteriorcingulate,7.2380
L_medialorbitofrontal,R_rostralmiddlefrontal,7.0005
L_medialorbitofrontal,R_superiorfrontal,8.3309
L_medialorbitofrontal,R_frontalpole,8.2818
L_medialorbitofrontal,R_temporalpole,3.3119
L_medialorbitofrontal,R_insula,5.7009
L_middletemporal,L_parsopercularis,8.9845
L_middletemporal,L_parsorbitalis,6.9678
L_middletemporal,L_parstriangularis,8.1585
L_middletemporal,L_pericalcarine,5.3503
L_middletemporal,L_rostralmiddlefrontal,8.9253
L_middletemporal,L_superiorparietal,7.5188
L_middletemporal,L_superiortemporal,10.3754
L_middletemporal,L_supramarginal,10.0059
L_middletemporal,L_temporalpole,8.1437
L_middletemporal,L_insula,8.4239
L_middletemporal,R_inferiortemporal,4.9399
L_middletemporal,R_superiorparietal,6.6036
L_parahippocampal,L_pericalcarine,6.1509
L_parahippocampal,L_postcentral,4.5562
L_parahippocampal,L_precentral,4.3757
L_parahippocampal,L_precuneus,8.1718
L_parahippocampal,L_rostralanteriorcingulate,4.1652
L_parahippocampal,L_superiorfrontal,7.2030
L_parahippocampal,L_superiorparietal,7.2913
L_parahippocampal,L_transversetemporal,4.3172
L_parahippocampal,L_insula,6.0079
